inventoryId,sku,locationCode,locationName,quantity,reservedQty,reorderPoint,unitCost,lastCountDate,lastImportDate
INV-0030,FG-SEAL-KIT-VP1,WH-E,Spare Parts Warehouse,118,35,25,38.00,2026-04-01,2026-04-03
INV-0031,FG-SEAL-KIT-GP5,WH-E,Spare Parts Warehouse,132,38,30,28.00,2026-04-01,2026-04-03
INV-0032,FG-MTPM-100,WH-D,Finished Goods Store,4,1,1,3850.00,2026-04-02,2026-04-03
INV-0033,FG-MTPM-200,WH-D,Finished Goods Store,2,1,1,5200.00,2026-04-02,2026-04-03
INV-0034,FG-ACCUM-10,WH-E,Spare Parts Warehouse,22,8,5,520.00,2026-04-01,2026-04-03
INV-0035,FG-ACCUM-20,WH-E,Spare Parts Warehouse,14,4,3,780.00,2026-04-01,2026-04-03
INV-0036,FG-HF-10,WH-E,Spare Parts Warehouse,88,20,20,95.00,2026-04-01,2026-04-03
INV-0037,FG-HF-25,WH-E,Spare Parts Warehouse,102,25,25,75.00,2026-04-01,2026-04-03
INV-0038,FG-HOSE-1-1M,WH-E,Spare Parts Warehouse,155,45,40,42.00,2026-04-01,2026-04-03
INV-0039,FG-HOSE-1-2M,WH-E,Spare Parts Warehouse,92,28,30,68.00,2026-04-01,2026-04-03
INV-0040,FG-HOSE-1.5-1M,WH-E,Spare Parts Warehouse,78,22,25,62.00,2026-04-01,2026-04-03
INV-0041,FG-COUPLING-F,WH-E,Spare Parts Warehouse,210,50,50,22.00,2026-04-01,2026-04-03
INV-0042,FG-COUPLING-M,WH-E,Spare Parts Warehouse,225,55,50,18.00,2026-04-01,2026-04-03
INV-0043,FG-FITTING-90,WH-E,Spare Parts Warehouse,380,80,100,8.50,2026-04-01,2026-04-03
INV-0044,FG-FITTING-T,WH-E,Spare Parts Warehouse,292,65,80,11.00,2026-04-01,2026-04-03
INV-0045,FG-GAUGE-100,WH-E,Spare Parts Warehouse,68,18,30,35.00,2026-04-01,2026-04-03
INV-0046,FG-GAUGE-400,WH-E,Spare Parts Warehouse,44,10,20,48.00,2026-04-01,2026-04-03
INV-0047,FG-TEMP-SENS,WH-E,Spare Parts Warehouse,38,8,15,65.00,2026-04-01,2026-04-03
INV-0048,FG-PRESS-TRANS,WH-E,Spare Parts Warehouse,24,5,10,120.00,2026-04-01,2026-04-03
INV-0049,FG-LEVEL-IND,WH-E,Spare Parts Warehouse,52,12,25,28.00,2026-04-01,2026-04-03
INV-0050,FG-MOTOR-7.5,WH-F,Heavy Equipment Bay,8,2,3,480.00,2026-03-30,2026-04-03
INV-0051,FG-MOTOR-15,WH-F,Heavy Equipment Bay,5,1,2,780.00,2026-03-30,2026-04-03
INV-0052,RM-STEEL-4140,WH-F,Heavy Equipment Bay,280,0,0,4.85,2026-03-30,2026-04-01
INV-0053,RM-STEEL-1018,WH-F,Heavy Equipment Bay,450,0,0,3.20,2026-03-30,2026-04-01
INV-0054,FG-HV-2000,WH-F,Heavy Equipment Bay,8,4,0,1250.00,2026-03-30,2026-04-03
INV-0055,FG-HV-3500,WH-F,Heavy Equipment Bay,4,2,0,1890.00,2026-03-30,2026-04-03
INV-0056,FG-GP-50,WH-A,Main Warehouse A,12,0,0,620.00,2026-03-31,2026-04-03
INV-0057,FG-DCV-3P,WH-A,Main Warehouse A,10,0,0,445.00,2026-03-31,2026-04-03
INV-0058,FG-PRV-100,WH-A,Main Warehouse A,15,0,0,185.00,2026-03-31,2026-04-03
INV-0059,FG-SEAL-KIT-HV2,WH-A,Main Warehouse A,30,0,0,45.00,2026-03-31,2026-04-03
INV-0060,FG-HOSE-1-1M,WH-A,Main Warehouse A,25,0,0,42.00,2026-03-31,2026-04-03
INV-0061,RM-ALUM-6061,WH-B,Raw Material Store B,120,0,0,7.40,2026-03-28,2026-04-01
INV-0062,RM-BRASS-360,WH-B,Raw Material Store B,80,0,0,9.15,2026-03-28,2026-04-01
INV-0063,WIP-PISTON-01,WH-F,Heavy Equipment Bay,5,5,0,145.00,2026-04-01,2026-04-02
INV-0064,WIP-HOUSING-P,WH-F,Heavy Equipment Bay,3,3,0,210.00,2026-04-01,2026-04-02
INV-0065,FG-ACCUM-10,WH-D,Finished Goods Store,6,2,0,520.00,2026-04-02,2026-04-03
INV-0066,FG-HF-10,WH-D,Finished Goods Store,14,5,0,95.00,2026-04-02,2026-04-03
INV-0066,FG-HF-10,WH-D,Finishd Goods Store,14,5,0,95.00,2026-04-02,2026-04-03
